Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Type,location_1,Zip Codes,Distance_to_McKeldin
1635,WASABI BISTRO,Full Service,COLLEGE PARK,MD,20740,4505 COLLEGE AVE,,Food Establishments,POINT (-76.937318 38.981986),15305,0.49831967335732175
1637,WASHINGTON PARTIES,Catering Only,CHEVERLY,MD,20785,5586 TUXEDO RD,A-5586,Food Establishments,POINT (-76.923741 38.917228),8347,4.87661597162089
1638,WAWA 562,Gas Station Store,LARGO,MD,20774,163 CRAIN HWY,,Food Establishments,POINT (-76.719572 38.889129),8340,13.862856039121745
1639,WAWA FOOD MARKET 593,Gas Station Store,BELTSVILLE,MD,20705,10515 BALTIMORE AVE,,Food Establishments,POINT (-76.918068 39.027489),15750,3.2139624104120266
1640,WEGMANS,Grocery Store,GLENARDEN,MD,20706,9001 MCHUGH DR,,Food Establishments,POINT (-76.850179 38.921778),15994,6.760739131860218
1641,WATER DROP CAFE,Full Service,LAUREL,MD,20707,14501 SWEITZER LN,,Food Establishments,POINT (-76.897922 39.08939),15996,7.57405281292308
1642,WENDYS 6595,Fast Food,BOWIE,MD,20716,16400 HARBOUR WAY,,Food Establishments,POINT (-76.719789 38.948877),16438,12.398162234722838
1643,WENDY'S 6504,Fast Food,OXON HILL,MD,20745,6122 OXON HILL RD,,Food Establishments,POINT (-76.975988 38.805105),15574,12.584475009630053
1644,WENDYS 6606,Fast Food,UPPER MARLBORO,MD,20772,15408 CHRYSLER DR,,Food Establishments,POINT (-76.737957 38.817544),17002,16.11054947552176
1645,WENDYS 6516,Fast Food,DISTRICT HTS,MD,20747,5425 SILVER HILL RD,,Food Establishments,POINT (-76.913584 38.852259),15814,9.375754300837173
1646,WENDY'S 6551,Fast Food,RIVERDALE,MD,20737,6210 KENILWORTH AVE,,Food Establishments,POINT (-76.919437 38.962719),15302,2.114088370496919
1647,WENDYS 6555,Fast Food,UPPER MARLBORO,MD,20774,8 WATKINS PARK DR,,Food Establishments,POINT (-76.791596 38.899048),8340,10.21160223296766
1648,WENDYS 6513,Fast Food,LANDOVER,MD,20785,8211 LANDOVER RD,,Food Establishments,POINT (-76.868799 38.92341),31451,5.95629715504889
1649,WENDYS 6521,Fast Food,GREENBELT,MD,20770,7513 GREENBELT RD,,Food Establishments,POINT (-76.878348 38.994185),16242,3.636782982254042
1650,WENDYS 6601,Fast Food,NEW CARROLLTON,MD,20784,8308 ANNAPOLIS RD,,Food Establishments,POINT (-76.871531 38.956633),10891,4.445968040816605
1651,WENDYS 6637,Fast Food,HYATTSVILLE,MD,20783,1461 UNIVERSITY BLVD,,Food Establishments,POINT (-76.98145 38.985017),10889,1.9596510522146322
1652,WENDYS 6594,Fast Food,TEMPLE HILLS,MD,20748,6335 ALLENTOWN RD,,Food Establishments,POINT (-76.908391 38.802411),15817,12.812934111711156
1653,WENDYS 6505,Fast Food,DISTRICT HTS,MD,20747,3440 DONNELL DR,,Food Establishments,POINT (-76.884749 38.846131),15814,10.176808769376901
1654,WENDYS 6550,Fast Food,LAUREL,MD,20707,14050 BALTIMORE AVE,,Food Establishments,POINT (-76.863453 39.082658),15996,7.987572617016338
1655,WENDYS 6626,Fast Food,ACCOKEEK,MD,20607,7099 BERRY RD,,Food Establishments,POINT (-77.013571 38.65996),8834,22.787323490122827
1656,WENDYS 6522,Fast Food,TAKOMA PARK,MD,20912,6823 NEW HAMPSHIRE AVE,,Food Establishments,POINT (-76.996112 38.973475),2327,2.8794600630411793
1657,WENDYS 6569,Fast Food,LANHAM-SEABROOK,MD,20706,9401 ANNAPOLIS RD,,Food Establishments,POINT (-76.845518 38.965321),15994,5.545804500695597
1658,WENDY'S 6509,Fast Food,BELTSVILLE,MD,20705,10634 BALTIMORE AVE,,Food Establishments,POINT (-76.913241 39.030803),15750,3.537649274689765
1659,WENDYS 6592,Fast Food,TEMPLE HILLS,MD,20748,3636 BRANCH AVE,,Food Establishments,POINT (-76.948101 38.841715),15817,9.949614054110613
1660,WENDYS 6538,Fast Food,GREENBELT,MD,20770,6242 GREENBELT RD,,Food Establishments,POINT (-76.906715 38.997125),16242,2.20440343166741
1661,WENDYS 6507,Fast Food,CLINTON,MD,20735,8907 WOODYARD RD,,Food Establishments,POINT (-76.887308 38.767316),15298,15.398547016601702
1662,WENDYS 6556,Fast Food,HYATTSVILLE,MD,20782,6410 SARGENT RD,,Food Establishments,POINT (-76.983903 38.968345),8789,2.4174384978654166
1663,WENDY'S 6581,Fast Food,BELTSVILLE,MD,20705,11741 BELTSVILLE DR,,Food Establishments,POINT (-76.937361 39.050113),15750,4.446660821666511
1664,WENDYS 6549,Fast Food,FORT WASHINGTON,MD,20744,11815 LIVINGSTON RD,,Food Establishments,POINT (-76.990583 38.726857),15572,18.038899651751745
1665,WENDYS 6609,Fast Food,CAPITOL HEIGHTS,MD,20743,8715 CENTRAL AVE,,Food Establishments,POINT (-76.854168 38.890474),15568,8.20630781543135
1668,WESTIN NATIONAL HARBOR,Full Service,OXON HILL,MD,20745,171 WATERFRONT ST,,Food Establishments,POINT (-77.017087 38.783619),15574,14.485772151156123
1669,WHITE CORNER RESTAURANT,Restaurant,CAPITOL HEIGHTS,MD,20743,4401 SOUTHERN AVE,,Food Establishments,POINT (-76.934699 38.873124),15568,7.80171355186539
1670,WILLY K'S,Full Service,Greenbelt,MD,20770,7200 Hanover DR,,Food Establishments,POINT (-76.879797 38.989103),16242,3.5208739515545258
1671,WINGS N THINGS AND PIZZA,Carry-out,LAUREL,MD,20707,310 MAIN ST,,Food Establishments,POINT (-76.844061 39.10423),15996,9.803872976466593
1672,WOODLANDS INDIAN RESTAURANT,Full Service,HYATTSVILLE,MD,20783,8046 NEW HAMPSHIRE AVE,,Food Establishments,POINT (-76.987485 38.991027),10889,2.3103279483267256
1673,WOODMORE HOUSE ASSISTED LIVING,Health Care Facility,SPRINGDALE,MD,20774,1717 LARGO RD,,Food Establishments,POINT (-76.776113 38.865109),8340,12.342912509698152
1674,WOODSTREAM CHURCH,Church/Temple/Mosque,MITCHELLVILLE,MD,20721,9800 LOTTSFORD RD,,Food Establishments,POINT (-76.836969 38.915007),17158,7.605421123254132
1675,WOODYARD MARKET,Convenience Store,UPPER MARLBORO,MD,20772,6905 DOWER HOUSE RD,,Food Establishments,POINT (-76.836407 38.794456),17002,14.448970442807543
1677,YAMI YAMI,Carry-out,TEMPLE HILLS,MD,20748,3801 BRANCH AVE,A3,Food Establishments,POINT (-76.945776 38.838297),15817,10.184117548801384
1678,YES! ORGANIC MARKET,Grocery Store,HYATTSVILLE,MD,20781,5331 BALTIMORE AVE,101,Food Establishments,POINT (-76.940293 38.954989),8347,2.1500069154893593
1679,YOUNG CHOW RESTAURANT & NEW YORK SUB,Fast Food,CLINTON,MD,20735,8900 WOODYARD RD,,Food Establishments,POINT (-76.886139 38.767557),15298,15.395152372985693
1680,YOUNG'S CARRYOUT,Carry-out,CAPITOL HEIGHTS,MD,20743,8900 EDGEWORTH DR,A,Food Establishments,POINT (-76.851849 38.881389),15568,8.788174849620747
1681,YUMMY YUMMY CARRYOUT,Carry-out,FORT WASHINGTON,MD,20744,8503 OXON HILL RD,1,Food Establishments,POINT (-77.006042 38.773414),15572,15.023741473566574
1682,YUMS CARRYOUT III,,OXON HILL,MD,20745,5225 INDIAN HEAD HWY,,Food Establishments,POINT (-76.999666 38.81848),15574,11.91998416703603
1683,YUM'S EXPRESS,Carry-out,COLLEGE PARK,MD,20740,4746 CHERRY HILL RD,,Food Establishments,POINT (-76.928742 39.014955),15305,2.186413448881482
1684,YUM'S RESTAURANT,Full Service,LAUREL,MD,20708,12635 LAUREL BOWIE RD,,Food Establishments,POINT (-76.839321 39.063926),15999,7.830946705466477
1685,ZHENG'S RESTAURANT,Full Service,RIVERDALE,MD,20737,6019 66TH AVE,,Food Establishments,POINT (-76.903626 38.960818),15302,2.8251916493721545
1687,24/7 CONVENIENCE STORE,Convenience Store,LAUREL,MD,20707,7707 OLD SANDY SPRING RD,,Food Establishments,POINT (-76.872061 39.104004),15996,9.042250897042557
1688,FIVE BREAD TWO FISH,Carry-out,HYATTSVILLE,MD,20782,3500 EAST WEST HWY,FC-1,Food Establishments,POINT (-76.958574 38.966903),8789,1.5006460185474981
1689,5-TWELVE FOOD MART,Convenience Store,NEW CARROLLTON,MD,20784,7001 ANNAPOLIS RD,,Food Establishments,POINT (-76.895866 38.945837),10891,3.830330619227416
1690,SEVEN ELEVEN STORE 36468A,Carry-out,DISTRICT HEIGHTS,MD,20747,6116 MARLBORO PIKE,,Food Establishments,POINT (-76.901621 38.855722),15814,9.282211178790307
1693,AMC THEATRES ACADEMY 8,Snack Bar/Concession Stand,GREENBELT,MD,20770,6198 GREENBELT RD,,Food Establishments,POINT (-76.907064 38.99719),16242,2.1884014904124367
1694,ACCOKEEK FOOD PANTRY,,ACCOKEEK,MD,20607,15769 LIVINGSTON RD,,Food Establishments,POINT (-77.005827 38.669587),8834,22.066354597289948
1695,ADELPHI ELEMENTARY SCHOOL,Public School,HYATTSVILLE,MD,20783,8820 RIGGS RD,,Food Establishments,POINT (-76.972769 38.999712),10889,1.76829146991562
1696,AFRIK INTERNATIONAL FOOD MARKET,Grocery Store,LANDOVER,MD,20785,6690 OLD LANDOVER RD,,Food Establishments,POINT (-76.898646 38.93232),10891,4.464184017368411
1697,ALEM'S FEATURING EDY'S GRAND ICE CREAM,Ice Cream,TEMPLE HILLS,MD,20748,3811 BRANCH AVE,,Food Establishments,POINT (-76.945705 38.838202),15817,10.190657025735009
1700,ALLENWOOD ELEMENTARY SCHOOL,Public School,TEMPLE HILLS,MD,20748,6300 HARLEY LN,,Food Establishments,POINT (-76.929563 38.803247),15817,12.62948010137773
1701,AC HOTEL NATIONAL HARBOR,Hotel,NATIONAL HARBOR,MD,20745,156 WATERFRONT ST,,Food Establishments,POINT (-77.016531 38.784369),15574,14.427898365877532
1702,AMC THEATRES CENTER PARK 8,Snack Bar/Concession Stand,BELTSVILLE,MD,20705,4001 POWDER MILL RD,,Food Establishments,POINT (-76.938202 39.046619),15750,4.202526735363805
1703,AMC THEATRES MAGIC JOHNSON CAPITAL CENTRE 12,Snack Bar/Concession Stand,LARGO,MD,20774,800 SHOPPERS WAY,,Food Establishments,POINT (-76.847172 38.901186),8340,7.873217245939497
1704,AMERICA SUPERMARKET,,HYATTSVILLE,MD,20912,6523 NEW HAMPSHIRE AVE,,Food Establishments,POINT (-76.999894 38.969042),10889,3.1735864903428914
1705,AMERICAN BUFFALO WING,Carry-out,UPPER MARLBORO,MD,20772,9516 CRAIN HWY,,Food Establishments,POINT (-76.808365 38.759497),17002,17.271742493740863
1706,AMERICAN LEGION POST 196,Private Club,DISTRICT HTS,MD,20747,5716 MARLBORO PIKE,,Food Establishments,POINT (-76.907576 38.858616),15814,9.011841789055767
1707,AMERICANA GROCERY OF MARYLAND,Grocery Store,BLADENSBURG,MD,20710,4900 ANNAPOLIS RD,,Food Establishments,POINT (-76.933088 38.939452),16001,3.2706141032973797
1708,La Chiquita Restaurant,Full Service,HYATTSVILLE,MD,20783,1500 UNIVERSITY BLVD,,Food Establishments,POINT (-76.981227 38.98506),10889,1.9475568609220264
1709,AMERICAS BEST WINGS,Fast Food,CAPITOL HEIGHTS,MD,20743,4821 MARLBORO PIKE,,Food Establishments,POINT (-76.930557 38.873393),15568,7.802404061524112
